risk_factor,major_cities_pct,inner_regional_pct,outer_regional_pct,remote_very_remote_pct,reference_year,source
Daily smoking (14+),7.0,11.0,11.0,20.0,2022-23,AIHW Rural and Remote Health 2025
Disability prevalence,19.0,27.0,26.0,26.0,2022,AIHW Rural and Remote Health 2025
