locality,year,price
CRANBOURNE NORTH,2021,646500.0
CRANBOURNE SOUTH,2021,620000.0
CRANBOURNE WEST,2021,585000.0
CREMORNE,2021,1695000.0
CRESWICK,2021,427500.0
CRIB POINT,2021,581000.0
CROYDON,2021,815000.0
CROYDON HILLS,2021,902000.0
CROYDON NORTH,2021,962000.0
CROYDON SOUTH,2021,828000.0
CURLEWIS,2021,570000.0
DALLAS,2021,500000.0
DALYSTON,2021,435500.0
DANDENONG,2021,680000.0
DANDENONG NORTH,2021,684000.0
DARLEY,2021,569500.0
DAYLESFORD,2021,775000.0
DEANSIDE,2021,695000.0
DEEPDENE,2021,4500000.0
DEER PARK,2021,620000.0
DELACOMBE,2021,480000.0
DELAHEY,2021,570000.0
DENNINGTON,2021,420000.0
DERRIMUT,2021,661000.0
DIAMOND CREEK,2021,915000.0
DIGGERS REST,2021,510000.0
DIMBOOLA,2021,177500.0
DINGLEY VILLAGE,2021,972000.0
DINNER PLAIN,2021,630000.0
DONALD,2021,151500.0
DONCASTER,2021,1372000.0
DONCASTER EAST,2021,1295000.0
DONNYBROOK,2021,575000.0
DONVALE,2021,1174000.0
DOREEN,2021,667500.0
DOVETON,2021,520000.0
DROMANA,2021,800000.0
DROUIN,2021,525000.0
DRYSDALE,2021,647000.0
DUNOLLY,2021,270000.0
EAGLE POINT,2021,399500.0
EAGLEHAWK,2021,380000.0
EAGLEMONT,2021,1920000.0
EAST BAIRNSDALE,2021,277000.0
EAST BENDIGO,2021,333500.0
EAST GEELONG,2021,735000.0
EAST MELBOURNE,2021,3950000.0
EAST WARBURTON,2021,593500.0
EASTWOOD,2021,450000.0
ECHUCA,2021,457000.0
EDENHOPE,2021,202500.0
EDITHVALE,2021,1166000.0
EILDON,2021,380000.0
ELLIMINYT,2021,522500.0
ELMORE,2021,255000.0
ELSTERNWICK,2021,2046500.0
ELTHAM,2021,1066500.0
ELTHAM NORTH,2021,1100000.0
ELWOOD,2021,2137000.0
EMERALD,2021,820000.0
ENDEAVOUR HILLS,2021,734000.0
EPPING,2021,585500.0
EPSOM,2021,468500.0
ESSENDON,2021,1485000.0
ESSENDON NORTH,2021,1075500.0
ESSENDON WEST,2021,1245000.0
EUMEMMERRING,2021,667500.0
EUREKA,2021,393000.0
EUROA,2021,386500.0
EYNESBURY,2021,605000.0
FAIRFIELD,2021,1430000.0
FAIRHAVEN,2021,1910000.0
FAWKNER,2021,772000.0
FERNTREE GULLY,2021,801000.0
FERNY CREEK,2021,1200000.0
FINGAL,2021,1602500.0
FITZROY,2021,1390000.0
FITZROY NORTH,2021,1360000.0
FIVEWAYS,2021,635000.0
FLEMINGTON,2021,1000000.0
FLINDERS,2021,1825000.0
FLORA HILL,2021,405000.0
FLOWERDALE,2021,355000.0
FOOTSCRAY,2021,842000.0
FOREST HILL,2021,1062000.0
FOSTER,2021,367500.0
FRANKSTON,2021,660000.0
FRANKSTON NORTH,2021,530000.0
FRANKSTON SOUTH,2021,834000.0
FRASER RISE,2021,640000.0
FYANSFORD,2021,750000.0
GARDEN CITY,2021,2672500.0
GARFIELD,2021,530000.0
GEELONG,2021,905000.0
GEELONG WEST,2021,825000.0
GEMBROOK,2021,710000.0
GISBORNE,2021,870000.0
GLADSTONE PARK,2021,700000.0
GLEN HUNTLY,2021,904500.0
GLEN IRIS,2021,2135000.0
GLEN WAVERLEY,2021,1400000.0
GLENROY,2021,790000.0
GOLDEN BEACH,2021,297500.0
GOLDEN POINT (BALLARAT),2021,445000.0
GOLDEN SQUARE,2021,456000.0
GORDON,2021,750000.0
GOUGHS BAY,2021,389000.0
GOWANBRAE,2021,847500.0
GRANTVILLE,2021,500000.0
GREEN LAKE,2021,354000.0
GREENSBOROUGH,2021,870500.0
GREENVALE,2021,748500.0
GROVEDALE,2021,590500.0
HADFIELD,2021,782500.0
HALLAM,2021,665000.0
HALLS GAP,2021,437000.0
HAMILTON,2021,318500.0
HAMLYN HEIGHTS,2021,662500.0
HAMPTON,2021,2225000.0
HAMPTON EAST,2021,1395000.0
HAMPTON PARK,2021,598000.0
HARCOURT,2021,465000.0
HARKNESS,2021,514500.0
HASTINGS,2021,606000.0
HASTINGS WEST,2021,475000.0
HAWTHORN,2021,2750000.0
HAWTHORN EAST,2021,2135500.0
HEALESVILLE,2021,655000.0
HEATHCOTE,2021,375000.0
HEATHERTON,2021,1065500.0
HEATHMONT,2021,1035500.0
HEIDELBERG,2021,1220000.0
HEIDELBERG HEIGHTS,2021,939500.0
HEIDELBERG WEST,2021,700000.0
HEPBURN,2021,610000.0
HEPBURN SPRINGS,2021,670000.0
HERNE HILL,2021,650000.0
HEYFIELD,2021,285000.0
HEYWOOD,2021,236000.0
HIGHETT,2021,1303500.0
HIGHTON,2021,842500.0
HILLSIDE (MELTON),2021,695000.0
HOPETOUN,2021,144500.0
HOPPERS CROSSING,2021,545000.0
HORSHAM,2021,329500.0
HUGHESDALE,2021,1320000.0
HUNTINGDALE,2021,1286000.0
HUNTLY,2021,460000.0
HURSTBRIDGE,2021,875000.0
INDENTED HEAD,2021,665000.0
INGLEWOOD,2021,317500.0
INVERLOCH,2021,805000.0
INVERMAY PARK,2021,667500.0
IRONBARK,2021,468000.0
IRYMPLE,2021,423500.0
IVANHOE,2021,1665000.0
IVANHOE EAST,2021,2502500.0
JACANA,2021,570000.0
JACKASS FLAT,2021,441000.0
JAN JUC,2021,1465000.0
JEERALANG NORTH,2021,262000.0
JEPARIT,2021,105000.0
JUNCTION VILLAGE,2021,625000.0
JUNORTOUN,2021,655000.0
KALIMNA,2021,330000.0
KALKALLO,2021,590000.0
KALLISTA,2021,785000.0
KALORAMA,2021,851500.0
KANGAROO FLAT,2021,381500.0
KANGAROO GROUND SOUTH,2021,1066500.0
KANIVA,2021,168000.0
KEALBA,2021,640000.0
KEILOR,2021,790000.0
KEILOR DOWNS,2021,731500.0
KEILOR EAST,2021,908500.0
KEILOR LODGE,2021,838000.0
KEILOR PARK,2021,809000.0
KENNINGTON,2021,490000.0
KENSINGTON,2021,990000.0
KERANG,2021,235000.0
KEW,2021,2819500.0
KEW EAST,2021,1770000.0
KEW NORTH,2021,2136000.0
KEYSBOROUGH,2021,815000.0
KIALLA,2021,502500.0
KILCUNDA,2021,677000.0
KILLARA (WODONGA),2021,469000.0
KILMORE,2021,513500.0
KILSYTH,2021,700000.0
KILSYTH SOUTH,2021,880000.0
KINGLAKE,2021,650000.0
KINGS PARK,2021,570500.0
KINGSBURY,2021,790000.0
KINGSVILLE,2021,1177500.0
KNOXFIELD,2021,884500.0
KOO WEE RUP,2021,599000.0
KOONDROOK,2021,277500.0
KOROIT,2021,625000.0
KORUMBURRA,2021,485000.0
KURUNJANG,2021,440000.0
KYABRAM,2021,290000.0
KYNETON,2021,655000.0
LAKE BOGA,2021,222500.0
LAKE GARDENS,2021,635000.0
LAKE TYERS BEACH,2021,479000.0
