year,service,did_not_need_pct,needed_pct
2011–12,Hospital,86.3,13.7
2012–13,Hospital,86.2,13.8
2013–14,Hospital,86.4,13.6
2014–15,Hospital,85.7,14.3
2015–16,Hospital,86.4,13.6
2016–17,Hospital,86.7,13.3
2017–18,Hospital,86.8,13.2
2018–19,Hospital,86.5,13.5
2019–20,Hospital,86.8,13.2
2020–21,Hospital,86.9,13.1
2021–22,Hospital,86.1,13.9
2022–23,Hospital,86.2,13.9
2023–24,Hospital,86.3,13.7
2024–25,Hospital,86.5,13.5
