pha_code,pha_name,poor_health_pct,ed_asr_per_100k
201,Ballarat,16.495789836701714,24838.533563076668
202,Bendigo,16.081847078710112,31353.839057177804
203,Geelong,14.482079065710368,20142.85848245444
204,Hume,15.706000888370747,34873.22074714601
205,Latrobe - Gippsland,15.944338128373555,36539.767679224075
206,Melbourne - Inner,11.51027587658261,22695.81466344997
207,Melbourne - Inner East,10.332069692938887,17282.366573811494
208,Melbourne - Inner South,10.99130715102343,18877.429174753608
209,Melbourne - North East,14.550132106459959,26286.28231115877
210,Melbourne - North West,16.764514883436863,26222.784505436262
211,Melbourne - Outer East,13.753150610170863,24361.33159851171
212,Melbourne - South East,15.796379180840981,23455.037278576197
213,Melbourne - West,16.90097660001838,24818.928866618742
214,Mornington Peninsula,14.254566427912506,26942.47510150803
215,North West,16.1000297939558,39135.04145530696
216,Shepparton,16.82087846301394,42082.25902912727
217,Warrnambool and South West,15.484999663464299,26903.005367917398
20000,Brunswick West/ Pascoe Vale South,14.809408176101748,25594.417197561164
20001,Brunswick/ Brunswick East,12.797443637957896,23904.36953060675
20002,Coburg,14.863292446151268,27093.335133131906
20003,Alphington - Fairfield/ Northcote,10.398664931175528,24185.320227077875
20004,Thornbury,11.921938485147786,26170.91786799497
20005,Ascot Vale,15.737158119696172,22515.677856317245
20006,Essendon - Aberfeldie/ Moonee Ponds,11.634238283843507,20358.01136966107
20007,Flemington,17.09809896597168,31875.908739819864
20008,Carlton,10.39459104044143,23908.16222247157
20009,Docklands/ Southbank,10.060811181951925,15363.442200866846
20010,East Melbourne/ South Yarra - West,8.522510574975083,8655.898871767771
20011,Flemington Racecourse/ Kensington,14.218815301600785,26150.594169093507
20012,Melbourne CBD,10.397251903399908,23429.172784522587
20013,North Melbourne/ West Melbourne - Residential,14.325032355820563,28875.49604165685
20014,Parkville,8.350221327949251,23633.653865766122
20015,Albert Park,10.050780589805903,14481.488970368064
20016,Elwood,11.657061741178078,20288.932704357623
20017,Port Melbourne/ Port Melbourne Industrial,11.237787413391647,23521.337605574685
20018,South Melbourne,11.168504237492652,27348.54082514352
20019,St Kilda,10.595233816137885,25397.10008343
20020,Armadale/ Toorak,9.002898906232879,13066.214489344142
20021,Prahran - Windsor/ South Yarra,9.745772083309559,24588.313395404126
