year,service,did_not_need_pct,needed_pct
2011–12,GP,18.3,81.7
2012–13,GP,18.4,81.6
2013–14,GP,16.8,83.2
2014–15,GP,16.3,83.7
2015–16,GP,17.5,82.5
2016–17,GP,16.7,83.3
2017–18,GP,15.1,84.9
2018–19,GP,16.6,83.4
2019–20,GP,16.2,83.8
2020–21,GP,16.9,83.1
2021–22,GP,15.7,84.3
2022–23,GP,16.3,83.6
2023–24,GP,16.4,83.5
2024–25,GP,15.7,84.2
