year,service,did_not_need_pct,needed_pct
2011–12,ED,86.3,13.7
2012–13,ED,86.4,13.6
2013–14,ED,85.7,14.3
2014–15,ED,85.4,14.6
2015–16,ED,86.5,13.5
2016–17,ED,86.2,13.8
2017–18,ED,85.7,14.3
2018–19,ED,86.2,13.8
2019–20,ED,85.6,14.4
2020–21,ED,86.6,13.4
2021–22,ED,85.2,14.8
2022–23,ED,84.8,15.2
2023–24,ED,84.7,15.3
2024–25,ED,84.4,15.5
