year,service,did_not_need_pct,needed_pct
2013–14,After-Hours GP,89.2,10.8
2014–15,After-Hours GP,88.9,11.2
2015–16,After-Hours GP,89.7,10.4
2016–17,After-Hours GP,89.6,10.4
2017–18,After-Hours GP,89.6,10.4
2018–19,After-Hours GP,91.0,9.0
2019–20,After-Hours GP,90.7,9.3
2020–21,After-Hours GP,93.5,6.5
2021–22,After-Hours GP,92.3,7.7
2022–23,After-Hours GP,91.2,8.8
2023–24,After-Hours GP,91.8,8.2
2024–25,After-Hours GP,92.6,7.4
